chemblId,value,units
CHEMBL53463,0.158336,uM
CHEMBL44657,9.66391,uM
CHEMBL888,0.792009,uM
CHEMBL105,0.849966,uM
CHEMBL553025,0.0261107,uM
CHEMBL512504,24.6005,uM
CHEMBL472004,330.454,uM
CHEMBL409,43.6266,uM
CHEMBL259181,28.9435,uM
CHEMBL608533,2.86973,uM
CHEMBL412142,296.425,uM
CHEMBL1171837,0.932915,uM
CHEMBL2165191,19.6713,uM
CHEMBL585951,1.02205,uM
CHEMBL1084546,6.94715,uM
CHEMBL92309,121.386,uM
CHEMBL135561,57.3987,uM
CHEMBL9470,0.967808,uM
CHEMBL258844,16.1581,uM
CHEMBL221137,7.48231,uM
CHEMBL2363137,5.86222,uM
CHEMBL591429,2.90404,uM
CHEMBL472940,190.868,uM
CHEMBL558642,61.5146,uM
CHEMBL1190711,8.60378,uM
CHEMBL96926,0.0102271,uM
CHEMBL2107358,0.887526,uM
CHEMBL575448,4.5022,uM
CHEMBL1091644,27.9699,uM
CHEMBL1023,326.632,uM
CHEMBL6067492,5.11661,uM
CHEMBL228043,1224.12,uM
CHEMBL252164,0.0802838,uM
CHEMBL449158,0.412247,uM
CHEMBL477772,28.5994,uM
CHEMBL94657,0.0385064,uM
CHEMBL289228,16.8746,uM
CHEMBL191384,11.08,uM
CHEMBL1431,211906.0,uM
CHEMBL483849,3683.85,uM
CHEMBL65,0.185613,uM
CHEMBL159,0.135124,uM
CHEMBL11359,218.485,uM
CHEMBL803,4.63698,uM
CHEMBL3545252,0.0163636,uM
CHEMBL34259,9.71696,uM
CHEMBL38,1033.31,uM
CHEMBL939,21.9428,uM
CHEMBL443684,12.7614,uM
CHEMBL98,23.2674,uM
CHEMBL255863,223.419,uM
CHEMBL3349342,0.867898,uM
CHEMBL105442,14.823,uM
CHEMBL1201182,3.59686,uM
CHEMBL521686,101.639,uM
CHEMBL506871,681.218,uM
CHEMBL288441,244.87,uM
CHEMBL848,510.902,uM
CHEMBL1289926,162.644,uM
CHEMBL2041933,1.23525,uM
CHEMBL176544,50.537,uM
CHEMBL603469,4.7504,uM
CHEMBL102714,920.6,uM
CHEMBL109480,0.148387,uM
CHEMBL1090090,220.203,uM
CHEMBL572881,281.291,uM
CHEMBL222102,67.3577,uM
CHEMBL1972860,0.0287383,uM
CHEMBL1173655,58.3648,uM
CHEMBL473417,677.655,uM
CHEMBL1230020,983.918,uM
CHEMBL577784,4.92099,uM
CHEMBL188678,6.93213,uM
CHEMBL240954,1038.46,uM
CHEMBL573107,25.4248,uM
CHEMBL103667,620.512,uM
CHEMBL210618,1344.47,uM
CHEMBL379975,24.718,uM
CHEMBL191334,391.137,uM
CHEMBL189584,235.853,uM
CHEMBL202721,171.165,uM
CHEMBL393929,213.975,uM
CHEMBL1079175,247.713,uM
CHEMBL189963,48.0715,uM
CHEMBL1879463,0.172721,uM
CHEMBL521851,32.4837,uM
CHEMBL1801204,0.824013,uM
CHEMBL507361,0.25746,uM
CHEMBL477989,207.733,uM
CHEMBL1614701,10.8437,uM
CHEMBL2165191,15.6132,uM
CHEMBL255342,405.799,uM
CHEMBL1186585,258.051,uM
CHEMBL1090771,212.724,uM
CHEMBL2134202,98.1042,uM
CHEMBL2137530,7.00589,uM
CHEMBL217354,1.22288,uM
CHEMBL399530,15.4877,uM
CHEMBL1173055,87.7193,uM
CHEMBL5282240,20.0,uM
