chemblId,value,units
CHEMBL260920,4.6,uM
CHEMBL1363835,80.0,uM
CHEMBL2134350,49.5,uM
CHEMBL1717611,80.0,uM
CHEMBL3193692,38.5,uM
CHEMBL1389592,80.0,uM
CHEMBL1373331,65.0,uM
CHEMBL1507511,12.9,uM
CHEMBL598477,7.64,uM
CHEMBL1378869,80.0,uM
CHEMBL1425646,80.0,uM
CHEMBL1436698,54.2,uM
CHEMBL2138402,80.0,uM
CHEMBL1303009,80.0,uM
CHEMBL1309895,29.0,uM
CHEMBL1971015,22.9,uM
CHEMBL1369623,80.0,uM
CHEMBL374374,80.0,uM
CHEMBL1453902,80.0,uM
CHEMBL1888851,33.3,uM
CHEMBL1528973,80.0,uM
CHEMBL1424189,12.0,uM
CHEMBL1609429,16.2,uM
CHEMBL602561,43.6,uM
CHEMBL1449037,80.0,uM
CHEMBL1300209,80.0,uM
CHEMBL1976414,11.6,uM
CHEMBL1364708,80.0,uM
CHEMBL1477924,80.0,uM
CHEMBL1307301,80.0,uM
CHEMBL2132017,26.6,uM
CHEMBL1982391,18.2,uM
CHEMBL1399850,80.0,uM
CHEMBL1438962,80.0,uM
CHEMBL1387491,80.0,uM
CHEMBL1347716,80.0,uM
CHEMBL84440,80.0,uM
CHEMBL1587159,22.4,uM
CHEMBL1256028,24.7,uM
CHEMBL3190895,41.4,uM
CHEMBL1487137,80.0,uM
CHEMBL1712646,80.0,uM
CHEMBL1404984,80.0,uM
CHEMBL3197968,23.5,uM
CHEMBL1520282,37.9,uM
CHEMBL3208420,52.2,uM
CHEMBL1993173,24.9,uM
CHEMBL1992564,42.2,uM
CHEMBL1331974,26.8,uM
CHEMBL1446643,29.1,uM
CHEMBL2136879,16.1,uM
CHEMBL2133074,80.0,uM
CHEMBL1400473,80.0,uM
CHEMBL1996136,13.6,uM
CHEMBL1871597,50.4,uM
CHEMBL2137023,80.0,uM
CHEMBL1549928,35.8,uM
CHEMBL1550032,80.0,uM
CHEMBL36,80.0,uM
CHEMBL420539,80.0,uM
CHEMBL1894222,22.7,uM
CHEMBL574779,56.1,uM
CHEMBL1533277,80.0,uM
CHEMBL1464003,80.0,uM
CHEMBL1321124,55.6,uM
CHEMBL1560128,8.42,uM
CHEMBL1560083,80.0,uM
CHEMBL546597,28.2,uM
CHEMBL1707320,80.0,uM
CHEMBL1425268,80.0,uM
CHEMBL1546095,80.0,uM
CHEMBL1896726,52.5,uM
CHEMBL1515727,100.0,uM
CHEMBL1314584,100.0,uM
CHEMBL1518926,29.882,uM
CHEMBL1487101,100.0,uM
CHEMBL1523808,74.102,uM
CHEMBL1461216,8.759,uM
CHEMBL1271266,5.09,uM
CHEMBL1875123,100.0,uM
CHEMBL1966746,81.302,uM
CHEMBL1364192,100.0,uM
CHEMBL1349800,11.512,uM
CHEMBL1540065,100.0,uM
CHEMBL1445488,1.158,uM
CHEMBL1971015,7.255,uM
CHEMBL1971404,100.0,uM
CHEMBL1343331,100.0,uM
CHEMBL1453902,100.0,uM
CHEMBL1973036,100.0,uM
CHEMBL1540317,75.558,uM
CHEMBL1888617,100.0,uM
CHEMBL1888077,100.0,uM
CHEMBL1426299,100.0,uM
CHEMBL1976599,100.0,uM
CHEMBL1976414,48.856,uM
CHEMBL1605157,100.0,uM
CHEMBL1511981,2.824,uM
CHEMBL1558648,100.0,uM
CHEMBL1547640,16.473,uM
