chemblId,value,units
CHEMBL386630,6.5,nM
CHEMBL1082407,294.0,nM
CHEMBL3039217,467.0,nM
CHEMBL166444,0.0015,uM
CHEMBL382640,0.37,uM
CHEMBL206909,0.58,uM
CHEMBL207106,0.052,uM
CHEMBL379527,0.029,uM
CHEMBL378087,0.93,uM
CHEMBL210570,5.0,uM
CHEMBL445661,0.92,uM
CHEMBL207706,0.03,uM
CHEMBL379244,3.4,uM
CHEMBL380133,0.13,uM
CHEMBL207510,0.88,uM
CHEMBL207509,2.1,uM
CHEMBL383485,3.8,uM
CHEMBL382892,0.11,uM
CHEMBL207168,0.63,uM
CHEMBL210634,2.8,uM
CHEMBL207339,3.0,uM
CHEMBL207518,1.0,uM
CHEMBL207550,2.3,uM
CHEMBL210924,4.5,uM
CHEMBL377653,0.11,uM
CHEMBL377611,2.8,uM
CHEMBL208088,3.7,uM
CHEMBL378733,1.5,uM
CHEMBL409,0.85,uM
CHEMBL3640820,3.0,nM
CHEMBL3640821,5.0,nM
CHEMBL3640822,6.0,nM
CHEMBL3640823,11.0,nM
CHEMBL3640824,50.0,nM
CHEMBL3640825,16.0,nM
CHEMBL3640826,0.4,nM
CHEMBL3640827,15.0,nM
CHEMBL3640828,10.0,nM
CHEMBL3640829,15.0,nM
CHEMBL3640830,12.0,nM
CHEMBL3640831,300.0,nM
CHEMBL3640832,5.0,nM
CHEMBL3640833,17.0,nM
CHEMBL3640834,0.5,nM
CHEMBL3640835,35.0,nM
CHEMBL3640836,10.0,nM
CHEMBL3640909,60.0,nM
CHEMBL3640837,19.0,nM
CHEMBL3640838,15.0,nM
CHEMBL3640839,3.0,nM
CHEMBL3640840,2.0,nM
CHEMBL3640841,0.7,nM
CHEMBL3640842,200.0,nM
CHEMBL3640843,258.0,nM
CHEMBL3640844,10.0,nM
CHEMBL3640845,10.0,nM
CHEMBL3640846,16.0,nM
CHEMBL3640847,0.03,nM
CHEMBL3640848,0.3,nM
CHEMBL3640849,5.9,nM
CHEMBL3640850,2.0,nM
CHEMBL3640851,15.0,nM
CHEMBL3640852,4.0,nM
CHEMBL3640853,0.2,nM
CHEMBL3640854,12.0,nM
CHEMBL3640855,0.2,nM
CHEMBL3640856,60.0,nM
CHEMBL3640857,0.1,nM
CHEMBL3640858,0.2,nM
CHEMBL3640859,0.02,nM
CHEMBL3640860,9.0,nM
CHEMBL3640861,3.0,nM
CHEMBL3640862,5.0,nM
CHEMBL3640863,470.0,nM
CHEMBL3640864,6.0,nM
CHEMBL3640865,1.0,nM
CHEMBL3640866,1000.0,nM
CHEMBL3640910,2.0,nM
CHEMBL3640867,5.0,nM
CHEMBL3640868,600.0,nM
CHEMBL3640869,9.0,nM
CHEMBL3640870,1.0,nM
CHEMBL3640871,1.0,nM
CHEMBL3640872,11.0,nM
CHEMBL3640873,10.0,nM
CHEMBL3640874,11.0,nM
CHEMBL3640875,10.0,nM
CHEMBL3640876,1000.0,nM
CHEMBL3640877,8.0,nM
CHEMBL3640878,1.0,nM
CHEMBL3640879,15.0,nM
CHEMBL3640880,1.0,nM
CHEMBL3640881,1.0,nM
CHEMBL3640882,1.0,nM
CHEMBL3640883,430.0,nM
CHEMBL3640884,246.0,nM
CHEMBL3640885,12.0,nM
CHEMBL3640886,1000.0,nM
CHEMBL3640887,4.0,nM
CHEMBL3640888,280.0,nM
