chemblId,value,units
CHEMBL1090917,500.0,uM
CHEMBL2420447,30.0,uM
CHEMBL2420449,9.7,uM
CHEMBL2420455,0.78,uM
CHEMBL2420454,0.69,uM
CHEMBL32503,0.24,uM
CHEMBL2420450,0.21,uM
CHEMBL1091277,0.21,uM
CHEMBL1783212,997.0,nM
CHEMBL1783213,770.0,nM
CHEMBL1783214,1020.0,nM
CHEMBL1783196,128.0,nM
CHEMBL1783215,2030.0,nM
CHEMBL1783216,629.0,nM
CHEMBL1783217,1840.0,nM
CHEMBL3936198,474.0,nM
CHEMBL3908266,9600.0,nM
CHEMBL1783196,25.0,nM
CHEMBL1783215,501.0,nM
CHEMBL3936198,56.0,nM
CHEMBL3908266,1200.0,nM
CHEMBL3890354,28.0,nM
CHEMBL3966451,544.0,nM
CHEMBL3895141,53.0,nM
CHEMBL3971720,605.0,nM
CHEMBL4476621,75.0,nM
CHEMBL1093534,0.024,uM
CHEMBL1091277,0.21,uM
CHEMBL32503,0.24,uM
CHEMBL1851667,0.011,uM
CHEMBL4586737,4.4,uM
CHEMBL4543048,30.0,uM
CHEMBL4570040,30.0,uM
CHEMBL4589563,3.9,uM
CHEMBL4515872,11.0,uM
CHEMBL1204079,3.2,uM
CHEMBL1202340,0.17,uM
CHEMBL1204078,8.3,uM
CHEMBL1202339,1.4,uM
CHEMBL1204077,0.21,uM
CHEMBL1202338,1.4,uM
CHEMBL1204076,1.9,uM
CHEMBL1204075,2.6,uM
CHEMBL1202337,1.9,uM
CHEMBL1202336,66.0,uM
CHEMBL1204074,0.024,uM
CHEMBL1202335,0.15,uM
CHEMBL1204073,0.48,uM
CHEMBL1204072,0.79,uM
CHEMBL223324,0.078,uM
CHEMBL144718,1.8,uM
CHEMBL311761,500.0,uM
CHEMBL1204071,500.0,uM
CHEMBL112797,508.0,uM
CHEMBL911,46.3,nM
CHEMBL911,10000.0,nM
CHEMBL73416,1.1,nM
CHEMBL73416,33.0,nM
CHEMBL32503,349.0,nM
CHEMBL1795348,11.0,nM
CHEMBL1795560,7.0,nM
CHEMBL1795561,3.0,nM
CHEMBL1795562,40.0,nM
CHEMBL681,577.0,uM
CHEMBL23497,104.0,uM
CHEMBL279678,295.0,uM
CHEMBL22676,66.26,uM
