chemblId,value,units
CHEMBL4456445,30.0,uM
CHEMBL4436787,25.0,uM
CHEMBL4564332,1.86,uM
CHEMBL4587363,12.0,uM
CHEMBL4474656,8.42,uM
CHEMBL98,1.96,uM
CHEMBL4564332,15.7,uM
CHEMBL98,9.39,uM
CHEMBL4587363,1.86,uM
CHEMBL4474656,1.26,uM
CHEMBL4456886,2.63,uM
CHEMBL4576202,0.86,uM
CHEMBL98,0.35,uM
CHEMBL408513,189.0,nM
CHEMBL483254,22.0,nM
CHEMBL4518387,415.0,nM
CHEMBL4466864,371.0,nM
CHEMBL4466520,235.0,nM
CHEMBL4463774,292.0,nM
CHEMBL4571280,258.0,nM
CHEMBL4516302,296.0,nM
CHEMBL4469317,195.0,nM
CHEMBL4573804,420.0,nM
CHEMBL4454331,278.0,nM
CHEMBL566831,370.0,nM
CHEMBL4633298,25000.0,nM
CHEMBL4799871,40.0,uM
CHEMBL4752558,0.6,uM
CHEMBL4750838,0.8,uM
CHEMBL4753795,0.81,uM
CHEMBL4761847,3.5,uM
CHEMBL4751082,0.67,uM
CHEMBL4762873,0.55,uM
CHEMBL4757768,2.07,uM
CHEMBL4248676,0.1,uM
CHEMBL4753828,40.0,uM
CHEMBL98,0.034,uM
CHEMBL4757035,0.25,uM
CHEMBL4796066,0.16,uM
CHEMBL4798111,9.9,uM
CHEMBL4748500,30.0,uM
CHEMBL4799406,30.0,uM
CHEMBL4761013,30.0,uM
CHEMBL4751615,30.0,uM
CHEMBL191482,0.3,uM
CHEMBL4873847,0.12,uM
CHEMBL2448576,0.2,uM
CHEMBL4878011,40.0,uM
CHEMBL4877454,40.0,uM
CHEMBL4851511,17.0,uM
CHEMBL4862719,11.0,uM
CHEMBL4859130,40.0,uM
CHEMBL4851062,40.0,uM
CHEMBL4855240,40.0,uM
CHEMBL4874919,40.0,uM
CHEMBL4858081,0.86,uM
CHEMBL4861270,0.24,uM
CHEMBL4872186,0.3,uM
CHEMBL4879154,0.88,uM
CHEMBL4867665,1.3,uM
CHEMBL98,1.6,uM
CHEMBL408513,0.47,uM
CHEMBL4873847,0.59,uM
CHEMBL2448576,1.0,uM
CHEMBL4861270,3.2,uM
CHEMBL4879154,4.8,uM
CHEMBL4867665,7.4,uM
CHEMBL98,1.9,uM
CHEMBL408513,0.62,uM
CHEMBL4873847,5.4,uM
CHEMBL2448576,0.71,uM
CHEMBL4861270,2.1,uM
CHEMBL4879154,2.3,uM
CHEMBL4867665,4.5,uM
CHEMBL98,2.0,uM
CHEMBL408513,1.3,uM
CHEMBL3989941,6.0,nM
CHEMBL4456445,5.0,uM
CHEMBL5194487,5.0,uM
CHEMBL5202426,5.0,uM
CHEMBL5181194,5.0,uM
CHEMBL5191938,5.0,uM
CHEMBL3692671,3.0,uM
CHEMBL5172806,4.3,uM
CHEMBL5199458,2.8,uM
CHEMBL5208515,5.0,uM
CHEMBL5206361,5.0,uM
CHEMBL4751615,5000.0,nM
CHEMBL4751615,5000.0,nM
CHEMBL4751615,5000.0,nM
CHEMBL4751615,5000.0,nM
CHEMBL98,0.95,uM
CHEMBL4751615,50.0,uM
CHEMBL5194933,50.0,uM
CHEMBL5206794,50.0,uM
CHEMBL5197621,50.0,uM
CHEMBL5174272,15.0,uM
CHEMBL5201177,15.0,uM
CHEMBL5197249,15.0,uM
CHEMBL5199173,15.0,uM
