chemblId,value,units
CHEMBL3145420,10.0,uM
CHEMBL3145438,10.0,uM
CHEMBL3145437,10.0,uM
CHEMBL3145418,10.0,uM
CHEMBL3145434,10.0,uM
CHEMBL3145433,10.0,uM
CHEMBL3145428,10.0,uM
CHEMBL3145426,10.0,uM
CHEMBL3145425,10.0,uM
CHEMBL3145424,10.0,uM
CHEMBL3145423,10.0,uM
CHEMBL3145422,10.0,uM
CHEMBL3145416,10.0,uM
CHEMBL3145432,15.0,uM
CHEMBL3145067,7.2,uM
CHEMBL3145450,5.9,uM
CHEMBL3114991,5.8,uM
CHEMBL3145415,5.3,uM
CHEMBL3145445,4.5,uM
CHEMBL3145431,4.3,uM
CHEMBL3145444,4.1,uM
CHEMBL3145421,4.0,uM
CHEMBL3145414,3.7,uM
CHEMBL3145417,3.6,uM
CHEMBL3145435,3.3,uM
CHEMBL3145439,3.1,uM
CHEMBL3145427,2.6,uM
CHEMBL3145409,2.1,uM
CHEMBL3114990,2.0,uM
CHEMBL3145246,1.7,uM
CHEMBL3145408,1.5,uM
CHEMBL3145411,0.91,uM
CHEMBL3145449,0.81,uM
CHEMBL3145413,0.78,uM
CHEMBL3145412,0.75,uM
CHEMBL3145430,0.75,uM
CHEMBL3145410,0.72,uM
CHEMBL3145443,0.72,uM
CHEMBL3145452,0.68,uM
CHEMBL3145419,0.67,uM
CHEMBL3145448,0.64,uM
CHEMBL3145442,0.63,uM
CHEMBL3145447,0.61,uM
CHEMBL3145441,0.6,uM
CHEMBL3145451,0.57,uM
CHEMBL3145440,0.55,uM
CHEMBL3145436,0.54,uM
CHEMBL3145446,0.49,uM
CHEMBL3145429,0.48,uM
CHEMBL4241063,50.0,uM
CHEMBL4242283,13.1,uM
CHEMBL4238139,50.0,uM
CHEMBL4245395,50.0,uM
CHEMBL4248609,50.0,uM
CHEMBL4241768,50.0,uM
CHEMBL4246014,32.3,uM
CHEMBL4247017,50.0,uM
CHEMBL4243033,50.0,uM
CHEMBL4249343,50.0,uM
CHEMBL4239269,50.0,uM
CHEMBL4246374,50.0,uM
CHEMBL4246251,50.0,uM
CHEMBL4242575,50.0,uM
CHEMBL4246825,50.0,uM
CHEMBL4249595,50.0,uM
CHEMBL4239759,9.8,uM
CHEMBL4247778,50.0,uM
CHEMBL4243556,50.0,uM
CHEMBL4237310,50.0,uM
CHEMBL4247330,50.0,uM
CHEMBL4241045,50.0,uM
CHEMBL4247120,50.0,uM
CHEMBL4244786,43.17,uM
CHEMBL4243364,50.0,uM
CHEMBL5169684,6.2,uM
CHEMBL1614745,8300.0,uM
CHEMBL1615211,24300.0,uM
CHEMBL90852,96.8,uM
CHEMBL5274121,114.6,uM
CHEMBL5173876,66.2,uM
CHEMBL5286685,500.0,uM
CHEMBL5288180,69.1,uM
CHEMBL5282569,3.7,uM
CHEMBL5266761,11.4,uM
CHEMBL5269140,23.3,uM
CHEMBL5285500,25.1,uM
CHEMBL5276266,41.3,uM
CHEMBL5283651,21.2,uM
CHEMBL5288308,22.5,uM
CHEMBL5169684,6.2,uM
CHEMBL418068,5.3,uM
CHEMBL509,100.0,uM
CHEMBL5288450,2.9,uM
CHEMBL5594860,250.0,uM
CHEMBL3115002,670.0,nM
