chemblId,value,units
CHEMBL2043430,5.0,nM
CHEMBL2043432,43.0,nM
CHEMBL2043431,88.0,nM
CHEMBL2043429,103.0,nM
CHEMBL2043433,45.0,nM
CHEMBL2043434,35.0,nM
CHEMBL2043435,5.0,nM
CHEMBL2043436,20.0,nM
CHEMBL2043437,5.0,nM
CHEMBL2043438,72.0,nM
CHEMBL2043439,191.0,nM
CHEMBL473417,5.0,nM
CHEMBL1080091,25.0,uM
CHEMBL2152354,15.0,uM
CHEMBL2152355,11.0,uM
CHEMBL2152356,15.0,uM
CHEMBL2152357,5.0,uM
CHEMBL2152358,25.0,uM
CHEMBL2152359,8.0,uM
CHEMBL2152360,20.0,uM
CHEMBL2152361,8.0,uM
CHEMBL2152362,6.0,uM
CHEMBL2152363,25.0,uM
CHEMBL2152364,4.0,uM
CHEMBL2152365,11.0,uM
CHEMBL2152366,25.0,uM
CHEMBL2152367,25.0,uM
CHEMBL2152368,25.0,uM
CHEMBL2152369,25.0,uM
CHEMBL2152370,4.0,uM
CHEMBL2152371,7.0,uM
CHEMBL2152372,8.0,uM
CHEMBL2152373,5.0,uM
CHEMBL2152374,25.0,uM
CHEMBL2152375,5.0,uM
CHEMBL2152376,4.0,uM
CHEMBL2152377,10.0,uM
CHEMBL2152378,23.0,uM
CHEMBL2152379,5.0,uM
CHEMBL2152380,0.6,uM
CHEMBL2152380,0.4,uM
CHEMBL2152381,4.3,uM
CHEMBL2152376,8.8,uM
CHEMBL2152380,3.5,uM
CHEMBL254129,1.5,uM
CHEMBL2152376,8.1,uM
CHEMBL2152380,2.0,uM
CHEMBL254129,1.9,uM
CHEMBL2160078,0.2,nM
CHEMBL516246,3.0,nM
CHEMBL2160079,0.6,nM
CHEMBL2160067,1.6,nM
CHEMBL2160067,11.0,nM
CHEMBL2160068,6.0,nM
CHEMBL2160069,35.0,nM
CHEMBL2160070,5.0,nM
CHEMBL2160071,8.0,nM
CHEMBL2160072,3.0,nM
CHEMBL2160074,1.6,nM
CHEMBL2160073,31.0,nM
CHEMBL2160076,12.0,nM
CHEMBL2160075,157.0,nM
CHEMBL2160077,2.6,nM
CHEMBL2160067,0.6,nM
CHEMBL2160068,0.2,nM
CHEMBL2160069,3.0,nM
CHEMBL2160070,0.3,nM
CHEMBL2160071,0.4,nM
CHEMBL2160072,0.1,nM
CHEMBL2160074,0.1,nM
CHEMBL2160073,2.0,nM
CHEMBL2160076,0.6,nM
CHEMBL2160075,19.0,nM
CHEMBL2160077,0.1,nM
CHEMBL2160208,2.6,nM
CHEMBL473417,1.5,nM
CHEMBL254129,484.0,nM
CHEMBL473417,16.0,nM
CHEMBL1615189,120.0,nM
CHEMBL3604625,190.0,nM
CHEMBL3604624,150.0,nM
CHEMBL3604623,150.0,nM
CHEMBL3604622,210.0,nM
CHEMBL3604621,100.0,nM
CHEMBL3604620,940.0,nM
CHEMBL3604619,3400.0,nM
CHEMBL3604618,10000.0,nM
CHEMBL3604617,810.0,nM
CHEMBL3604616,170.0,nM
CHEMBL3604615,5000.0,nM
CHEMBL3604614,10000.0,nM
CHEMBL3604613,10000.0,nM
CHEMBL3604612,41.0,nM
CHEMBL3604611,4100.0,nM
CHEMBL3604610,64.0,nM
CHEMBL3978393,52.6,nM
CHEMBL3979327,84.5,nM
CHEMBL3965352,9.53,nM
CHEMBL3960082,45.9,nM
CHEMBL3932585,282.0,nM
