chemblId,value,units
CHEMBL33884,0.21,nM
CHEMBL2179674,2.8,nM
CHEMBL2179707,9.8,nM
CHEMBL3220223,1.4,nM
CHEMBL334325,3.0,nM
CHEMBL121766,64.0,nM
CHEMBL339936,18.0,nM
CHEMBL421256,17.0,nM
CHEMBL127876,162.0,nM
CHEMBL124485,715.0,nM
CHEMBL125670,296.0,nM
CHEMBL3291075,203.0,nM
CHEMBL3291077,916.0,nM
CHEMBL3291078,110.0,nM
CHEMBL3291080,453.0,nM
CHEMBL3291079,195.0,nM
CHEMBL3291084,49.0,nM
CHEMBL3759362,0.592,uM
CHEMBL3759969,0.19,uM
CHEMBL3759824,0.805,uM
CHEMBL3759348,0.493,uM
CHEMBL3759259,0.329,uM
CHEMBL3758410,0.954,uM
CHEMBL3759928,0.066,uM
CHEMBL3758945,0.56,uM
CHEMBL3758578,0.92,uM
CHEMBL3758523,1.121,uM
CHEMBL3759601,1.271,uM
CHEMBL3758199,1.165,uM
CHEMBL3758932,0.648,uM
CHEMBL3758721,5.759,uM
CHEMBL74656,0.483,uM
CHEMBL3759546,0.178,uM
CHEMBL3759860,0.134,uM
CHEMBL3759944,0.118,uM
CHEMBL3758433,0.078,uM
CHEMBL3758398,0.377,uM
CHEMBL3758641,0.134,uM
CHEMBL3758397,0.593,uM
CHEMBL3758674,0.155,uM
CHEMBL3759759,0.052,uM
CHEMBL3758976,0.073,uM
CHEMBL3758309,0.068,uM
CHEMBL3759860,10.0,uM
CHEMBL1729,0.362,nM
CHEMBL3946162,0.226,nM
CHEMBL3986866,0.164,nM
CHEMBL3967117,0.039,nM
CHEMBL3928124,0.229,nM
CHEMBL3922150,0.005,nM
CHEMBL3926377,0.103,nM
CHEMBL3950712,0.067,nM
CHEMBL3957180,0.182,nM
CHEMBL3982522,0.267,nM
CHEMBL3934371,0.076,nM
CHEMBL3910849,0.454,nM
CHEMBL3915236,0.421,nM
CHEMBL3890747,0.134,nM
CHEMBL3920018,0.375,nM
CHEMBL3901228,0.002,nM
CHEMBL4212246,10.0,uM
CHEMBL4207355,10.0,uM
CHEMBL4526049,7.5,nM
CHEMBL4580044,14.5,nM
CHEMBL4457426,101.0,nM
CHEMBL39,323.0,nM
CHEMBL4451349,10.0,nM
CHEMBL399203,25.0,uM
CHEMBL493677,1.4,uM
CHEMBL471036,4700.0,nM
CHEMBL1163015,10.0,uM
CHEMBL572038,5.0,uM
CHEMBL584743,10.0,uM
CHEMBL569357,10.0,uM
CHEMBL572248,10.0,uM
CHEMBL1748,0.019,uM
CHEMBL583681,10.0,uM
CHEMBL570710,10.0,uM
CHEMBL569585,6.1,uM
CHEMBL585925,10.0,uM
CHEMBL570487,4.6,uM
CHEMBL585567,9.9,uM
CHEMBL571799,3.9,uM
CHEMBL572249,10.0,uM
CHEMBL1275709,30000.0,nM
CHEMBL1275791,30000.0,nM
CHEMBL120055,10000.0,nM
CHEMBL160581,1000.0,nM
CHEMBL1785074,10000.0,nM
CHEMBL1784916,10000.0,nM
