chemblId,value,units
CHEMBL2043002,20.0,nM
CHEMBL2043003,97.0,nM
CHEMBL2043004,11.0,nM
CHEMBL2043005,11.0,nM
CHEMBL2043006,97.0,nM
CHEMBL2043007,44.0,nM
CHEMBL2043008,59.0,nM
CHEMBL2043010,3.5,nM
CHEMBL2043011,7.2,nM
CHEMBL2043168,2.1,nM
CHEMBL2043169,1.7,nM
CHEMBL2043170,95.0,nM
CHEMBL2043171,27.0,nM
CHEMBL2043172,8.4,nM
CHEMBL2043324,3.6,nM
CHEMBL2043325,1.9,nM
CHEMBL2043326,5.8,nM
CHEMBL2043327,120.0,nM
CHEMBL2043328,61.0,nM
CHEMBL2040894,340.0,nM
CHEMBL2040895,320.0,nM
CHEMBL2040896,76.0,nM
CHEMBL2040897,5.9,nM
CHEMBL2041010,2.0,nM
CHEMBL2041164,6.4,nM
CHEMBL2041165,38.0,nM
CHEMBL2041166,61.0,nM
CHEMBL2041167,21.0,nM
CHEMBL2041168,130.0,nM
CHEMBL2041169,3.5,nM
CHEMBL2041170,9.8,nM
CHEMBL2041171,38.0,nM
CHEMBL2041172,48.0,nM
CHEMBL2041173,47.0,nM
CHEMBL2041174,24.0,nM
CHEMBL2041175,1.6,nM
CHEMBL2041176,17.0,nM
CHEMBL2041177,15.0,nM
CHEMBL2041178,14.0,nM
CHEMBL2041179,49.0,nM
CHEMBL2041180,20.0,nM
CHEMBL2041181,36.0,nM
CHEMBL2040854,26.0,nM
CHEMBL2041182,3.2,nM
CHEMBL2041183,4.1,nM
CHEMBL2041184,7.7,nM
CHEMBL2041185,2.0,nM
CHEMBL2041186,4.9,nM
CHEMBL2041187,10.0,nM
CHEMBL2041188,2.9,nM
CHEMBL2041189,4.8,nM
CHEMBL2041190,0.8,nM
CHEMBL2041191,43.0,nM
CHEMBL2041192,2.1,nM
CHEMBL2041193,1.6,nM
CHEMBL2041194,22.0,nM
CHEMBL3115281,20.0,nM
CHEMBL3115295,1.0,nM
CHEMBL3115315,0.0,uM
CHEMBL2041193,1.6,nM
CHEMBL2338326,0.017,uM
CHEMBL3115297,500.0,uM
CHEMBL3115296,1.0,nM
CHEMBL3115294,1.0,nM
CHEMBL3115293,1.0,nM
CHEMBL3115292,1.0,nM
CHEMBL3115291,1.0,nM
CHEMBL3115290,1.0,nM
CHEMBL3115289,1.0,nM
CHEMBL3115284,0.8,nM
CHEMBL3115283,0.8,nM
CHEMBL3115282,0.8,nM
CHEMBL3133892,4.73,uM
CHEMBL3133891,2.9,uM
CHEMBL84963,100.0,uM
CHEMBL20724,25.8,uM
CHEMBL3133888,33.5,uM
CHEMBL3133889,10.2,uM
CHEMBL3133890,2.29,uM
CHEMBL306226,100.0,uM
CHEMBL3646212,21400.0,nM
CHEMBL3646222,390.0,nM
CHEMBL3646219,560.0,nM
CHEMBL3646227,1300.0,nM
CHEMBL3646217,52300.0,nM
CHEMBL3646220,83.0,nM
CHEMBL3646218,37500.0,nM
CHEMBL3646215,180.0,nM
CHEMBL3646215,180.0,nM
CHEMBL3646221,390.0,nM
CHEMBL3646222,390.0,nM
CHEMBL3646217,52300.0,nM
CHEMBL3646218,37500.0,nM
CHEMBL3646227,1300.0,nM
CHEMBL3646212,21400.0,nM
CHEMBL3646221,390.0,nM
CHEMBL3646220,83.0,nM
CHEMBL3646219,560.0,nM
CHEMBL3931782,0.45,uM
CHEMBL4163812,5.5,nM
