chemblId,value,units
CHEMBL47146,14.0,nM
CHEMBL45340,3.7,nM
CHEMBL297327,22.0,nM
CHEMBL444832,9.0,nM
CHEMBL295301,15.0,nM
CHEMBL346178,320.0,nM
CHEMBL45340,4.0,nM
CHEMBL437797,2.0,nM
CHEMBL296014,22.0,nM
CHEMBL47146,14.0,nM
CHEMBL106124,12.0,nM
CHEMBL444832,9.0,nM
CHEMBL2115415,0.72,nM
CHEMBL295785,1000.0,nM
CHEMBL46795,1000.0,nM
CHEMBL358863,8.8,uM
CHEMBL151990,10.0,uM
CHEMBL2115416,660.0,nM
CHEMBL295615,2.7,nM
CHEMBL2114965,520.0,nM
CHEMBL298247,17.0,nM
CHEMBL2114963,11.0,nM
CHEMBL311405,1130.0,nM
CHEMBL449091,882.0,nM
CHEMBL2369767,1876.0,nM
CHEMBL307433,533.0,nM
CHEMBL306072,276.0,nM
CHEMBL437797,10.0,nM
CHEMBL441040,4090.0,nM
CHEMBL235363,717.0,nM
CHEMBL33650,1550.0,nM
CHEMBL16192,10.0,uM
CHEMBL16192,10000.0,nM
CHEMBL308148,208.0,nM
CHEMBL330366,21.0,nM
