chemblId,value,units
CHEMBL413,6.14688,uM
CHEMBL535,8.18384,uM
CHEMBL450786,554.78,uM
CHEMBL64925,198.304,uM
CHEMBL428647,0.0504493,uM
CHEMBL254129,1625.75,uM
CHEMBL2144069,104.839,uM
CHEMBL1336,151.557,uM
CHEMBL572878,11.4058,uM
CHEMBL941,153.836,uM
CHEMBL509032,201.036,uM
CHEMBL601719,151.001,uM
CHEMBL217092,338.18,uM
CHEMBL392695,2.52543,uM
CHEMBL64925,26.5085,uM
CHEMBL5416410,195.634,uM
CHEMBL483847,285.196,uM
CHEMBL300389,0.0941381,uM
CHEMBL1242367,18.3607,uM
CHEMBL197603,7.31256,uM
CHEMBL213100,405.666,uM
CHEMBL1643959,762.339,uM
CHEMBL513909,0.0570756,uM
CHEMBL401930,15.6738,uM
CHEMBL209148,25.2941,uM
CHEMBL515416,33.0533,uM
CHEMBL36,1895.32,uM
CHEMBL1256459,0.229211,uM
CHEMBL379300,0.241791,uM
CHEMBL514499,0.0129666,uM
CHEMBL27759,71.8727,uM
CHEMBL4298697,91.5293,uM
CHEMBL373751,331.762,uM
CHEMBL325041,0.0539143,uM
CHEMBL1673039,29.9994,uM
CHEMBL14762,69.7364,uM
CHEMBL180127,56.0648,uM
CHEMBL554,332.631,uM
CHEMBL220241,423.464,uM
CHEMBL53463,7.9688,uM
CHEMBL44657,1368.03,uM
CHEMBL888,7.00001,uM
CHEMBL105,2.3955,uM
CHEMBL553025,11.8714,uM
CHEMBL512504,116.861,uM
CHEMBL472004,3377.68,uM
CHEMBL409,161.754,uM
CHEMBL259181,972.031,uM
CHEMBL608533,123.127,uM
CHEMBL412142,455.297,uM
CHEMBL1171837,127.688,uM
CHEMBL2165191,1209.52,uM
CHEMBL585951,80.3671,uM
CHEMBL1084546,233.876,uM
CHEMBL92309,4889.26,uM
CHEMBL135561,207.529,uM
CHEMBL9470,754.677,uM
CHEMBL258844,669.029,uM
CHEMBL221137,120.262,uM
CHEMBL2363137,6.23268,uM
CHEMBL591429,89.7452,uM
CHEMBL472940,1754.0,uM
CHEMBL558642,846.184,uM
CHEMBL1190711,86.6249,uM
CHEMBL96926,0.0216871,uM
CHEMBL2107358,46.1199,uM
CHEMBL575448,114.555,uM
CHEMBL1091644,553.428,uM
CHEMBL1023,347.485,uM
CHEMBL6067492,243.879,uM
CHEMBL228043,2922.29,uM
CHEMBL252164,1.25165,uM
CHEMBL449158,1.50579,uM
CHEMBL477772,930.439,uM
CHEMBL94657,1.8631,uM
CHEMBL289228,2177.47,uM
CHEMBL191384,28.8385,uM
CHEMBL3410151,3.0,nM
CHEMBL3410154,158.0,nM
CHEMBL3410161,4.0,nM
CHEMBL3410162,15.0,nM
CHEMBL3410163,13.0,nM
CHEMBL3410164,26.0,nM
CHEMBL3410166,4.0,nM
CHEMBL3410167,5.0,nM
CHEMBL3410168,4.0,nM
CHEMBL3410169,4.0,nM
CHEMBL3410170,4.0,nM
CHEMBL4800426,49.4,uM
CHEMBL5094795,5.16,uM
CHEMBL5077168,2.88,uM
CHEMBL5080049,2.33,uM
CHEMBL5083849,2.93,uM
CHEMBL3581647,1.35,uM
CHEMBL2364628,3.88,uM
CHEMBL4800426,22.5,uM
CHEMBL575448,1.28,uM
